0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-1.9854e-07,-3.4388e-07,5.6241e-11,-3.9708e-07,-1.1826e-12,1.7045e-10,-3.9709e-07,-1.3241e-12,2.8388e-10,-3.9709e-07,-8.2264e-13,3.7551e-10,-3.9709e-07,1.8768e-13,4.1167e-10,-3.9709e-07,6.9053e-13,3.7551e-10,-3.9709e-07,1.0494e-12,2.8388e-10,-3.9708e-07,1.5201e-12,1.7045e-10,-1.9854e-07,3.4388e-07,5.6241e-11,0,0,0,2.0511e-14,-3.4723e-15,4.2001e-14,-3.3581e-14,-1.3785e-15,1.6779e-13,9.4645e-15,2.4198e-15,-5.7634e-13,4.187e-14,4.2184e-15,4.773e-14,-2.5298e-14,7.8966e-15,4.798e-14,-1.5071e-14,8.0653e-17,-5.7576e-13,3.9473e-14,-2.0831e-15,1.6832e-13,-2.1233e-14,-1.1438e-15,4.2412e-14,0,0,0,-1.9854e-07,-3.4389e-07,1.1103e-10,3.0634e-14,1.8843e-14,-8.6174e-14,-4.8098e-14,4.012e-15,-1.4021e-13,1.6923e-14,-1.8986e-14,-1.6331e-13,4.0644e-14,1.086e-14,-8.7976e-15,-5.095e-14,1.2792e-14,-9.2723e-15,-1.272e-14,-2.1589e-14,-1.6477e-13,4.9158e-14,-3.2419e-15,-1.4192e-13,-3.0873e-14,2.1156e-14,-8.7223e-14,-1.9854e-07,3.4389e-07,1.1103e-10,8.5266e-15,2.0585e-15,-5.4212e-13,-3.242e-15,4.0419e-14,-1.4383e-14,3.3801e-15,-2.1938e-14,-4.8639e-13,1.0386e-14,-7.5971e-15,-4.2008e-13,1.5928e-14,4.4421e-14,1.1886e-12,-1.1817e-14,-1.8171e-14,-4.1871e-13,3.821e-16,-3.9021e-14,-4.8435e-13,5.329e-16,3.5732e-14,-1.2463e-14,-1.2011e-14,-7.122e-16,-5.4138e-13,1.1327e-14,1.2493e-14,5.6916e-14,-2.9318e-15,5.4721e-15,2.8998e-14,-6.6642e-15,-1.3262e-15,-1.336e-13,1.4229e-14,-1.6368e-14,-1.0303e-13,4.3537e-15,4.6144e-15,4.9582e-15,-1.8079e-14,9.2543e-15,-1.0453e-13,6.1003e-15,-8.0948e-15,-1.3623e-13,-7.5958e-15,6.8344e-15,2.6602e-14,-1.454e-14,7.3139e-15,5.5959e-14,1.9854e-07,-3.4389e-07,1.6378e-10,2.9495e-15,1.2641e-14,2.1913e-13,-1.0626e-15,3.874e-15,-2.0276e-13,1.7709e-14,-1.4896e-14,-1.2582e-13,-3.1042e-15,-3.5715e-15,1.478e-13,-1.132e-14,1.0493e-14,1.4863e-13,8.6071e-15,-5.1028e-15,-1.2367e-13,-4.835e-15,-6.1837e-15,-2.0004e-13,-1.7812e-14,1.0624e-14,2.211e-13,1.9854e-07,3.4389e-07,1.6378e-10,-1.9854e-07,-3.4389e-07,2.4934e-10,5.1724e-15,-6.0347e-15,4.7813e-13,-5.1573e-15,-2.6182e-15,-1.2848e-13,1.6928e-14,-3.4827e-15,-2.0364e-14,-8.9207e-15,-7.3471e-15,3.5241e-13,-1.1809e-14,3.8866e-15,3.5177e-13,1.3595e-14,-2.6695e-15,-2.2152e-14,-4.4915e-15,1.0815e-15,-1.3077e-13,-1.0926e-14,1.2296e-15,4.7628e-13,-1.9854e-07,3.4389e-07,2.4934e-10,2.0218e-15,-2.3974e-15,2.9765e-13,-5.8939e-15,-2.1596e-15,7.941e-13,7.6625e-15,-1.4222e-14,3.5499e-13,-2.1448e-15,-4.9736e-15,-4.0018e-13,-1.7227e-14,1.9162e-16,3.5189e-13,-1.4766e-15,-5.029e-15,-3.9916e-13,1.2882e-14,5.5647e-15,3.5676e-13,1.0999e-15,-1.1119e-15,7.9595e-13,3.132e-15,-7.603e-15,2.9843e-13,-8.9839e-15,-9.9713e-16,-1.7059e-13,-5.5274e-15,7.115e-16,3.4022e-13,1.4727e-15,-1.6013e-15,-1.2708e-13,9.0973e-15,1.5093e-14,-1.7588e-13,-1.2328e-10,5.7779e-16,-1.2708e-09,1.0317e-14,-1.6436e-14,-1.7638e-13,9.4654e-15,-3.1849e-16,-1.2791e-13,3.6857e-15,-1.2865e-15,3.3932e-13,1.6738e-15,-1.1309e-14,-1.7091e-13,1.9854e-07,-3.4389e-07,2.7603e-10,-1.2343e-14,-1.0139e-14,-1.7233e-13,-9.1185e-15,-1.0377e-14,-4.8722e-13,2.0589e-15,2.6326e-15,4.7847e-14,-6.0926e-11,-1.0552e-10,-1.2562e-09,-6.0926e-11,1.0552e-10,-1.2562e-09,7.7217e-15,-6.6713e-15,4.8043e-14,6.7588e-15,6.7229e-15,-4.8685e-13,1.1639e-14,1.2931e-15,-1.7215e-13,1.9854e-07,3.4389e-07,2.7603e-10,-1.9854e-07,-3.4389e-07,2.7603e-10,-1.4642e-14,-3.409e-16,-1.7313e-13,-2.0947e-15,-9.4091e-15,-4.8815e-13,-6.6062e-15,5.1404e-15,4.7269e-14,6.0926e-11,-1.0552e-10,-1.2562e-09,6.0931e-11,1.0552e-10,-1.2562e-09,3.4957e-15,-3.0263e-15,4.787e-14,9.4504e-15,1.0562e-14,-4.8724e-13,1.6222e-14,9.5704e-15,-1.7253e-13,-1.9854e-07,3.4389e-07,2.7603e-10,-2.3367e-15,1.3626e-14,-1.7022e-13,-2.5823e-15,8.9738e-15,3.4114e-13,-7.8031e-15,2.4305e-15,-1.2635e-13,-9.4241e-15,1.5674e-14,-1.7563e-13,1.2328e-10,1.9322e-16,-1.2708e-09,-7.535e-15,-1.5093e-14,-1.7633e-13,-4.0271e-15,2.6531e-16,-1.2767e-13,8.6325e-15,2.7586e-15,3.3975e-13,6.5456e-15,2.2019e-16,-1.7073e-13,-1.2404e-15,1.0093e-14,2.9737e-13,-1.6634e-15,1.6952e-15,7.9335e-13,-1.4993e-14,-4.6035e-15,3.5441e-13,-9.5409e-16,4.0698e-16,-4.0027e-13,1.7667e-14,5.1913e-15,3.5218e-13,3.4847e-15,3.8198e-15,-3.9901e-13,-5.1139e-15,1.556e-14,3.5669e-13,1.8895e-15,-1.598e-16,7.9567e-13,1.6462e-15,-4.7963e-16,2.9834e-13,1.9854e-07,-3.4389e-07,2.4934e-10,6.0337e-15,2.6285e-15,4.7859e-13,5.719e-15,-5.0224e-16,-1.279e-13,-1.9148e-14,2.6645e-15,-2.0119e-14,1.0139e-14,-5.2245e-15,3.5213e-13,3.9237e-15,6.3791e-15,3.5138e-13,-1.859e-14,-1.6281e-16,-2.2262e-14,-5.3824e-15,3.5814e-15,-1.3067e-13,2.6073e-16,1.1219e-14,4.7646e-13,1.9854e-07,3.4389e-07,2.4934e-10,-1.9854e-07,-3.4389e-07,1.6378e-10,1.4687e-14,-1.4018e-15,2.1884e-13,2.1742e-15,6.9443e-15,-2.0312e-13,-1.2037e-14,-2.3926e-15,-1.2584e-13,4.4393e-15,-7.422e-15,1.4828e-13,7.6588e-15,8.7672e-15,1.4919e-13,-1.9589e-14,4.6995e-15,-1.2341e-13,3.504e-15,-1.1781e-15,-2.0001e-13,-5.1854e-15,-7.1604e-16,2.2102e-13,-1.9854e-07,3.4389e-07,1.6378e-10,7.2199e-15,-2.6913e-15,5.7018e-14,1.16e-14,-3.3838e-15,2.9303e-14,3.2731e-16,6.1663e-15,-1.3347e-13,5.42e-15,-1.1944e-14,-1.0335e-13,-3.8042e-15,2.4993e-15,4.3166e-15,-5.0153e-15,1.2714e-14,-1.0507e-13,-1.6677e-15,1.1424e-15,-1.3637e-13,-2.7212e-15,-2.1929e-15,2.6598e-14,-4.1057e-15,-3.0777e-15,5.5952e-14,8.123e-15,1.2874e-15,-5.4215e-13,8.6803e-15,-4.7657e-15,-1.4532e-14,6.2755e-15,1.1718e-14,-4.8639e-13,2.8335e-15,6.8245e-15,-4.1968e-13,-1.4372e-14,-9.0377e-15,1.1892e-12,1.1666e-15,-3.5559e-15,-4.1821e-13,-5.8258e-15,-8.8336e-15,-4.8417e-13,-3.0885e-15,-6.0022e-15,-1.2442e-14,-6.6443e-15,3.9051e-15,-5.4135e-13,1.9854e-07,-3.4389e-07,1.1103e-10,1.3222e-14,-2.5047e-15,-8.6077e-14,-1.1932e-15,2.8557e-15,-1.4018e-13,3.9467e-15,1.0045e-15,-1.6346e-13,1.4752e-14,1.0544e-15,-9.2255e-15,-1.2439e-16,9.8912e-17,-9.8454e-15,-2.492e-15,5.3311e-16,-1.6506e-13,2.2484e-15,-2.662e-15,-1.4197e-13,-1.1424e-14,-2.4935e-15,-8.7265e-14,1.9854e-07,3.4389e-07,1.1103e-10,0,0,0,1.1796e-14,3.6449e-15,4.1968e-14,-1.6136e-15,-1.1831e-15,1.6777e-13,9.0763e-15,-8.4412e-16,-5.7628e-13,-2.1244e-15,3.4499e-15,4.7965e-14,-9.5632e-15,2.0427e-16,4.8143e-14,2.6364e-15,-6.9372e-16,-5.7567e-13,2.7159e-15,2.5286e-15,1.6839e-13,-9.5201e-15,-9.5346e-16,4.2397e-14,0,0,0,1.9854e-07,-3.4388e-07,5.6241e-11,3.9708e-07,-1.3818e-12,1.7045e-10,3.9709e-07,-1.1722e-12,2.8388e-10,3.9709e-07,-7.5284e-13,3.7551e-10,3.9709e-07,-2.9614e-14,4.1167e-10,3.9709e-07,7.6457e-13,3.7551e-10,3.9709e-07,1.194e-12,2.8388e-10,3.9708e-07,1.3201e-12,1.7045e-10,1.9854e-07,3.4388e-07,5.6241e-11
-3.1263e-06,-5.4148e-06,3.512e-09,-6.2527e-06,-3.3534e-10,1.0647e-08,-6.2529e-06,-3.1082e-10,1.7718e-08,-6.253e-06,-1.9903e-10,2.3449e-08,-6.2531e-06,-1.3653e-14,2.5734e-08,-6.253e-06,1.9902e-10,2.3449e-08,-6.2529e-06,3.108e-10,1.7718e-08,-6.2527e-06,3.3531e-10,1.0647e-08,-3.1263e-06,5.4148e-06,3.5119e-09,0,0,0,-1.4213e-15,1.435e-15,1.05e-12,4.3127e-15,-4.6804e-16,1.2554e-13,-6.3581e-14,-7.5375e-16,-1.1046e-12,-6.5375e-14,2.1416e-15,-8.7858e-13,-5.43e-14,-7.8297e-16,-7.7751e-13,-4.6504e-14,1.5953e-15,-8.4836e-13,1.7769e-14,-8.0414e-16,4.2653e-13,3.1666e-14,-4.4788e-16,1.2473e-12,0,0,0,-3.1264e-06,-5.415e-06,6.9239e-09,-3.3905e-14,-3.2769e-14,-3.0541e-12,-6.7949e-14,-4.5638e-14,-4.6388e-12,1.5648e-14,-3.5095e-14,1.9858e-12,-4.9091e-16,-1.3886e-14,1.1526e-12,-5.1941e-15,2.0334e-14,8.7715e-13,4.6429e-15,4.77e-14,1.2819e-12,-5.7073e-14,5.8601e-14,-5.4586e-12,-1.068e-14,3.1084e-14,-3.5953e-12,-3.1264e-06,5.415e-06,6.9239e-09,-1.3759e-14,1.035e-14,6.7089e-13,4.0617e-15,5.21e-15,2.1299e-13,2.2126e-14,-2.7982e-14,-5.4947e-13,-1.0599e-13,-7.6842e-14,-1.734e-12,-1.019e-13,-9.795e-15,-3.1024e-12,-8.2762e-14,5.7564e-14,-1.0801e-12,6.1504e-14,8.7452e-15,4.6832e-13,3.5727e-14,-1.373e-14,1.1308e-12,1.0996e-14,-4.1454e-16,1.0435e-12,-1.1672e-14,1.7769e-14,3.5243e-12,1.2775e-14,1.2705e-14,9.7241e-13,3.7486e-14,-2.679e-14,1.0074e-12,2.9696e-14,-3.0101e-15,2.4876e-12,-8.5229e-14,-3.6353e-15,-2.363e-12,2.2034e-14,6.7139e-15,1.6806e-12,3.1274e-14,6.0111e-14,-2.6443e-13,2.6463e-14,3.27e-15,-1.7699e-13,6.6674e-15,-1.9645e-14,3.0575e-12,3.1262e-06,-5.415e-06,1.0235e-08,-2.0668e-14,-2.8133e-14,-6.2975e-14,6.3129e-14,-3.7721e-14,-4.3844e-13,1.8263e-14,-1.3671e-15,2.5772e-13,4.0654e-14,-2.1877e-14,1.3538e-12,5.4042e-14,2.5298e-14,1.7919e-12,5.1052e-14,-9.3019e-15,1.3883e-12,9.6826e-14,2.1769e-14,9.0002e-13,1.6972e-14,1.7696e-14,8.3326e-13,3.1262e-06,5.415e-06,1.0235e-08,-3.1265e-06,-5.4153e-06,1.56e-08,9.3882e-15,2.6761e-14,7.6632e-13,8.136e-14,3.2684e-14,7.1484e-13,-2.6627e-14,-2.9221e-15,-5.4366e-13,-3.8688e-14,7.8607e-14,-5.6306e-13,-4.1808e-14,-8.3183e-14,-9.5319e-13,-2.9865e-14,1.2526e-14,-1.5764e-12,6.6291e-14,6.7647e-15,-5.2777e-13,1.2093e-14,-2.1365e-16,-7.0881e-14,-3.1265e-06,5.4153e-06,1.56e-08,-1.1265e-14,2.3078e-14,7.3785e-13,2.3671e-14,-2.9903e-14,-2.1947e-12,1.8745e-14,4.1346e-14,5.5995e-13,-2.6561e-14,1.0625e-13,8.8571e-13,1.1615e-13,9.4348e-15,1.1435e-13,-3.8886e-14,-9.293e-14,1.528e-12,1.6273e-14,-5.566e-14,1.6339e-12,2.3452e-14,1.8868e-14,-1.2069e-12,-1.0362e-14,-1.1714e-14,1.14e-12,1.8992e-14,6.7455e-14,2.6321e-12,6.4897e-14,7.6172e-14,2.6399e-12,-1.7924e-14,4.4875e-14,-6.1262e-13,-1.0741e-13,-2.3344e-15,2.0605e-14,-7.7008e-09,-7.0189e-17,-7.9389e-08,-1.0139e-13,-2.5865e-15,-3.3552e-13,-1.8216e-14,-4.4108e-14,-1.2836e-12,3.6322e-14,-5.6458e-14,2.0142e-12,-1.3047e-14,-3.0475e-14,2.3716e-12,3.1264e-06,-5.4153e-06,1.7254e-08,1.6789e-14,-3.6852e-14,-1.0672e-12,-1.1365e-14,-1.4085e-15,-2.0448e-12,-1.5823e-14,4.5055e-14,-3.4187e-13,-3.8079e-09,-6.5955e-09,-7.8513e-08,-3.8079e-09,6.5955e-09,-7.8513e-08,-3.8096e-14,-3.0512e-14,1.6747e-15,-4.6082e-14,-3.1943e-15,-1.6091e-12,-2.1325e-14,3.4254e-14,-7.7158e-13,3.1264e-06,5.4153e-06,1.7254e-08,-3.1264e-06,-5.4153e-06,1.7254e-08,2.1204e-14,-8.239e-14,-1.4646e-12,5.788e-15,-4.3541e-14,-2.5328e-12,-2.6573e-14,2.8956e-14,-6.1782e-13,3.8079e-09,-6.5955e-09,-7.8513e-08,3.8079e-09,6.5955e-09,-7.8513e-08,-3.0942e-14,-2.7296e-14,-5.5678e-13,-9.2986e-15,2.4099e-14,-2.4411e-12,-3.3468e-14,5.4041e-14,-1.3876e-12,-3.1264e-06,5.4153e-06,1.7254e-08,4.8616e-15,3.5162e-14,2.8474e-12,-5.4678e-14,8.2016e-14,3.1029e-12,1.3795e-14,4.1871e-14,-2.3348e-13,9.2138e-14,-1.1743e-14,1.3357e-13,7.7008e-09,-8.5811e-16,-7.9389e-08,8.4252e-14,5.359e-15,-4.7147e-14,-1.7423e-15,-4.6597e-14,-5.6265e-13,-6.5214e-14,-7.8987e-14,2.7754e-12,-5.0716e-15,-5.3135e-14,2.7006e-12,7.0256e-15,-2.6486e-15,5.576e-13,-4.3493e-15,-6.0068e-14,-2.5704e-12,1.7496e-14,2.0527e-14,2.7998e-13,5.326e-14,9.0425e-14,8.3469e-13,-8.9548e-14,3.4527e-16,1.1548e-13,5.5431e-14,-9.7765e-14,1.2652e-12,1.0803e-15,-4.5785e-14,1.0093e-12,-2.4049e-14,3.3249e-14,-1.8747e-12,3.0878e-16,-9.7328e-15,8.4979e-13,3.1265e-06,-5.4153e-06,1.5601e-08,-1.9988e-14,4.5282e-15,1.036e-12,-5.3701e-14,1.9309e-14,1.0132e-12,7.4088e-14,-2.4626e-14,-4.3551e-13,1.1408e-13,7.3688e-14,-6.0499e-13,1.1291e-13,-8.5466e-14,-8.7794e-13,8.2068e-14,1.3987e-14,-1.1681e-12,-2.9901e-14,-1.3906e-14,1.0217e-13,1.6076e-14,-9.8815e-15,4.015e-13,3.1265e-06,5.4153e-06,1.56e-08,-3.1262e-06,-5.415e-06,1.0235e-08,-4.1831e-15,-1.7829e-14,-2.444e-13,-4.432e-14,-2.9813e-14,-6.1254e-13,3.9039e-14,5.9158e-15,2.576e-13,3.0945e-14,-2.4339e-14,1.4754e-12,2.5357e-14,1.5954e-14,1.7978e-12,3.0338e-14,-1.3923e-14,1.1037e-12,-4.2585e-14,1.2164e-14,4.2456e-13,5.3624e-15,5.657e-15,4.7186e-13,-3.1262e-06,5.415e-06,1.0235e-08,-1.326e-14,3.7054e-14,3.6065e-12,-3.7267e-14,2.7013e-14,1.1243e-12,-4.8431e-14,-2.179e-14,1.0546e-12,-2.5156e-14,2.2869e-15,2.3771e-12,8.8316e-14,-7.3513e-15,-2.481e-12,-1.2915e-14,-7.1062e-15,1.772e-12,-1.2066e-14,2.9869e-14,7.0724e-14,9.0608e-15,-2.1924e-14,2.0334e-13,1.2376e-14,-2.582e-14,3.2243e-12,-8.5463e-15,6.2331e-15,6.2381e-13,-3.728e-14,6.4745e-15,1.3747e-13,-6.1483e-14,-6.0107e-15,-5.3669e-13,7.4433e-14,-6.7831e-14,-1.6046e-12,7.7036e-14,-1.0134e-14,-2.9712e-12,6.3829e-14,6.4936e-14,-1.1049e-12,-5.9026e-14,1.6898e-14,2.6539e-13,-1.9759e-14,-1.8199e-14,8.8756e-13,9.8012e-15,-1.2744e-14,9.3463e-13,3.1264e-06,-5.415e-06,6.9239e-09,3.845e-15,-1.2882e-14,-3.0056e-12,3.712e-15,-3.3251e-14,-4.6196e-12,-7.0026e-14,-1.798e-14,1.9116e-12,-6.0813e-14,-1.5573e-14,1.025e-12,-6.804e-14,9.85e-15,8.1476e-13,-6.1781e-14,4.0406e-14,1.3624e-12,5.6165e-14,4.4857e-14,-5.2822e-12,3.1672e-14,1.3209e-15,-3.4549e-12,3.1264e-06,5.415e-06,6.9239e-09,0,0,0,-2.3875e-14,2.811e-16,1.0331e-12,-6.0925e-14,7.7616e-16,1.2024e-13,-3.1387e-15,-2.5097e-16,-1.0737e-12,1.1029e-15,8.7183e-16,-8.2749e-13,-2.6973e-14,-2.5607e-15,-7.4997e-13,-6.483e-15,1.1496e-15,-8.7296e-13,-2.7507e-14,-1.0331e-15,3.6473e-13,-8.5159e-15,-4.3756e-16,1.1984e-12,0,0,0,3.1263e-06,-5.4148e-06,3.512e-09,6.2527e-06,-3.3538e-10,1.0647e-08,6.2529e-06,-3.1078e-10,1.7718e-08,6.253e-06,-1.9902e-10,2.3449e-08,6.2531e-06,-4.3458e-14,2.5734e-08,6.253e-06,1.9906e-10,2.3449e-08,6.2529e-06,3.1088e-10,1.7718e-08,6.2527e-06,3.3533e-10,1.0647e-08,3.1263e-06,5.4148e-06,3.5119e-09
