time,nfev,nact,nhooked,trials,try_last
0.0,1,0,0,0,0
0.01,1,0,0,0,0
0.02,1,0,0,0,0
0.03,1,0,0,0,0
0.04,1,0,0,0,0
0.05,2,2,0,1,1
0.060000000000000005,4,2,2,0,4
0.07,2,2,2,0,2
0.08,8,4,2,1,4
0.09,4,4,4,0,4
0.09999999999999999,2,4,4,0,2
0.10999999999999999,2,4,4,0,2
0.11999999999999998,16,4,4,0,16
0.12999999999999998,26,5,4,1,13
0.13999999999999999,5,6,5,1,2
0.15,4,6,6,0,4
0.16,6,7,6,1,2
0.17,4,7,7,0,4
0.18000000000000002,5,8,7,1,3
0.19000000000000003,2,8,8,0,2
0.20000000000000004,4,9,8,1,2
0.21000000000000005,6,10,9,1,2
0.22000000000000006,4,10,10,0,4
0.23000000000000007,2,10,10,0,2
0.24000000000000007,10,11,10,1,5
0.25000000000000006,4,11,11,0,4
0.26000000000000006,5,12,11,1,3
0.2700000000000001,7,13,12,1,3
0.2800000000000001,6,14,13,1,2
0.2900000000000001,4,14,14,0,4
0.3000000000000001,2,14,14,0,2
0.3100000000000001,15,15,14,1,5
0.3200000000000001,8,16,15,1,4
0.3300000000000001,7,16,16,0,7
0.34000000000000014,2,16,16,0,2
0.35000000000000014,8,18,16,1,4
0.36000000000000015,5,18,18,0,5
0.37000000000000016,5,18,18,0,5
0.38000000000000017,27,19,18,1,14
0.3900000000000002,9,20,19,1,4
0.4000000000000002,4,20,20,0,4
0.4100000000000002,2,20,20,0,2
0.4200000000000002,2,20,20,0,2
0.4300000000000002,4,22,20,1,2
0.4400000000000002,5,22,22,0,5
0.45000000000000023,2,22,22,0,2
0.46000000000000024,13,22,21,1,2
0.47000000000000025,16,21,21,1,4
0.48000000000000026,7,21,20,1,3
0.49000000000000027,11,19,19,1,3
0.5000000000000002,11,18,18,1,3
0.5100000000000002,2,18,18,0,2
0.5200000000000002,14,16,16,1,2
0.5300000000000002,2,16,16,0,2
0.5400000000000003,4,17,16,1,2
0.5500000000000003,26,16,15,1,7
0.5600000000000003,3,16,16,0,3
0.5700000000000003,16,14,14,1,2
0.5800000000000003,4,15,14,1,2
0.5900000000000003,11,16,15,1,3
0.6000000000000003,8,16,16,0,8
0.6100000000000003,25,14,14,1,2
0.6200000000000003,3,14,14,0,3
0.6300000000000003,50,12,12,1,2
0.6400000000000003,2,12,12,0,2
0.6500000000000004,2,12,12,0,2
0.6600000000000004,4,11,11,1,2
0.6700000000000004,13,10,10,1,2
0.6800000000000004,3,10,10,0,3
0.6900000000000004,21,8,8,1,2
0.7000000000000004,2,8,8,0,2
0.7100000000000004,2,8,8,0,2
0.7200000000000004,15,6,6,1,2
0.7300000000000004,2,6,6,0,2
0.7400000000000004,6,5,5,1,3
0.7500000000000004,13,4,4,1,2
0.7600000000000005,2,4,4,0,2
0.7700000000000005,2,4,4,0,2
0.7800000000000005,12,3,3,1,3
0.7900000000000005,8,2,2,1,2
0.8000000000000005,2,2,2,0,2
0.8100000000000005,10,0,0,1,9
0.8200000000000005,1,0,0,0,9
0.8300000000000005,1,0,0,0,9
0.8400000000000005,1,0,0,0,9
0.8500000000000005,1,0,0,0,9
0.8600000000000005,1,0,0,0,9
0.8700000000000006,1,0,0,0,9
0.8800000000000006,1,0,0,0,9
0.8900000000000006,1,0,0,0,9
0.9000000000000006,1,0,0,0,9
0.9100000000000006,1,0,0,0,9
0.9200000000000006,1,0,0,0,9
0.9300000000000006,1,0,0,0,9
0.9400000000000006,1,0,0,0,9
0.9500000000000006,1,0,0,0,9
0.9600000000000006,1,0,0,0,9
0.9700000000000006,1,0,0,0,9
0.9800000000000006,1,0,0,0,9
0.9900000000000007,1,0,0,0,9
